manufacturer,model,year,mileage,engine,price,accidents_or_damage
Ford,EcoSport SE,2020,17506.0,2.0L I4 16V GDI DOHC,20444.0,0.0
Ford,Taurus SEL,2010,84063.0,3.5L V6 24V MPFI DOHC,10650.0,0.0
Toyota,Corolla LE,2018,46925.0,1.8L I4 16V MPFI DOHC,19998.0,1.0
GMC,Sierra 2500 Denali,2015,127904.0,6.6L V8 32V DDI OHV Turbo Diesel,41057.0,0.0
Kia,Soul S,2021,63598.0,2.0L I4 16V MPFI DOHC,19825.0,0.0
Lexus,RX 300 Base (A4),2003,176393.0,3.0L V6 24V MPFI DOHC,5888.0,0.0
RAM,1500 Big Horn,2019,63237.0,5.7L V8 16V MPFI OHV,35000.0,1.0
BMW,X5 xDrive50i,2015,78363.0,4.4L V8 32V GDI DOHC Twin Turbo,25995.0,0.0
Subaru,WRX Premium,2022,3436.0,2.4L H4 16V GDI DOHC Turbo,33459.0,0.0
Chevrolet,Trailblazer LT,2022,3406.0,1.3L I3 12V GDI DOHC Turbo,32674.0,0.0
Mercedes-Benz,GLC 300 Base 4MATIC,2022,4064.0,2.0L I4 16V GDI DOHC Turbo,47900.0,0.0
Porsche,Taycan 4S,2021,29061.0,Electric,96999.0,0.0
Jeep,Compass Latitude,2019,45624.0,2.4L I4 16V MPFI SOHC,20532.0,0.0
Tesla,Model 3 Performance,2020,43498.0,0.0,44127.0,0.0
Subaru,Impreza 2.0i Sport,2019,37135.0,2.0L H4 16V GDI DOHC,24999.0,0.0
Lincoln,MKT EcoBoost,2010,166974.0,3.5L V6 24V GDI DOHC Twin Turbo,7551.0,0.0
Jeep,Grand Cherokee 4xe Base,2022,1857.0,2.0L I4 16V GDI DOHC Turbo Hybrid,49523.0,0.0
Chevrolet,Impala LS,2003,229701.0,3.8L V6 12V MPFI OHV,3550.0,0.0
Toyota,Highlander XLE,2021,33194.0,3.5L V6 24V PDI DOHC,44500.0,0.0
Ford,Focus S,2013,113030.0,2.0L I4 16V GDI DOHC Flexible Fuel,8449.0,0.0
Chevrolet,Malibu LT,2019,60056.0,1.5L I4 16V GDI DOHC Turbo,19995.0,0.0
Kia,Optima LX,2013,86439.0,2.4L I4 16V GDI DOHC,11995.0,1.0
Toyota,Sienna LE,2020,86792.0,3.5L V6 24V PDI DOHC,31883.0,0.0
GMC,Yukon SLT,2021,69165.0,5.3L V8 16V GDI OHV,52685.0,0.0
Dodge,Durango GT Plus,2019,47231.0,3.6L V6 24V MPFI DOHC,32999.0,0.0
Land Rover,Range Rover Sport Supercharged Autobiography,2014,75810.0,5.0L V8 32V GDI DOHC Supercharged,32500.0,1.0
Ford,Transit Connect XLT,2015,71444.0,2.5L I4 16V MPFI DOHC,15795.0,0.0
Ford,F-150 XLT,2020,30052.0,Regular Unleaded 2.7 L EcoBoost,41000.0,0.0
Mazda,CX-5 2.5 S Preferred Package,2022,12708.0,2.5L I4 16V GDI DOHC,28988.0,0.0
Audi,S5 3.0T Prestige,2021,4729.0,3.0L V6 24V GDI DOHC Turbo,59981.0,0.0
Chevrolet,Malibu 1LT,2016,78778.0,1.5L I4 16V GDI DOHC Turbo,13999.0,1.0
Tesla,Model S Long Range,2020,12613.0,Electric,59988.0,0.0
Kia,Optima LX,2016,86283.0,2.4L I4 16V GDI DOHC,17998.0,0.0
Jeep,Wrangler Unlimited Sahara,2016,89039.0,3.6L V6 24V MPFI DOHC,28995.0,0.0
Mercedes-Benz,GLB 250 Base 4MATIC,2021,0.0,2.0L I4 16V GDI DOHC Turbo,37999.0,0.0
Nissan,Rogue S,2021,55978.0,2.5L I4 16V GDI DOHC,25354.0,0.0
Chrysler,Pacifica Touring-L,2022,23315.0,3.6L V6 24V MPFI DOHC,35960.0,0.0
Ford,F-350 XL,2021,88574.0,6.7L V8 32V DDI OHV Turbo Diesel,62000.0,1.0
GMC,Terrain SLE,2018,109772.0,1.5L I4 16V GDI DOHC Turbo,16995.0,0.0
Ford,Bronco Sport Big Bend,2021,24537.0,1.5L I3 12V PDI DOHC Turbo,31000.0,0.0
Kia,Seltos SX,2021,38572.0,1.6L I4 16V GDI DOHC Turbo,26647.0,0.0
Toyota,Prius LE,2021,43188.0,1.8L,24986.0,0.0
Toyota,Highlander Platinum,2022,7487.0,Regular Unleaded V-6 3.5 L/211,55975.0,0.0
Dodge,Challenger SXT,2021,60428.0,"Pentastar 3.6L V-6 DOHC, variable valve control, engine with 303",29336.0,0.0
Audi,A4 2.0T Premium,2017,99686.0,2.0L I4 16V GDI DOHC Turbo,17000.0,0.0
RAM,1500 Big Horn,2022,2582.0,3.6L V6 24V MPFI DOHC,45000.0,0.0
Lexus,RX 350 F SPORT Handling,2022,4549.0,3.5L V6 24V PDI DOHC,56500.0,0.0
Cadillac,Escalade Luxury,2018,88688.0,6.2L V8 16V GDI OHV,42991.0,0.0
Nissan,Altima 2.5 S,2019,79652.0,2.5L I4 16V GDI DOHC,18998.0,0.0
Chevrolet,Impala 2LZ,2015,104733.0,3.6L V6 24V GDI DOHC,19295.0,1.0
Nissan,Rogue SV,2021,39891.0,2.5L I4 16V GDI DOHC,30995.0,0.0
Porsche,Cayenne,2010,118785.0,3.6L V6 24V GDI DOHC,12995.0,1.0
Chevrolet,Trax LT,2017,167146.0,1.4L I4 16V MPFI DOHC Turbo,8888.0,1.0
Jeep,Liberty Sport,2012,82205.0,Power Tech 3.7L V-6 engine with 210HP,12250.0,0.0
Subaru,Outback 2.5i Premium,2011,175012.0,2.5L H4 16V MPFI SOHC,7997.0,0.0
RAM,1500 TRX,2022,13341.0,6.2L V8 16V MPFI OHV Supercharged,119995.0,0.0
Porsche,Macan,2023,665.0,2.0L I4 16V GDI DOHC Turbo,64995.0,0.0
Toyota,Corolla SE,2020,17066.0,2.0L I4 16V PDI DOHC,22500.0,0.0
GMC,Sierra 2500 SLT,2020,25036.0,"Duramax 6.6L V-8 diesel direct injection, intercooled turbo, die",69888.0,0.0
Volkswagen,Jetta GL,2004,33112.0,2.0L I4 8V MPFI SOHC,8950.0,1.0
BMW,Z3 Roadster,1996,106902.0,1.9L I4 16V MPFI DOHC,7995.0,0.0
Land Rover,Range Rover 5.0L V8 Supercharged,2019,64085.0,5.0L V8 32V GDI DOHC Supercharged,66999.0,0.0
Jeep,Wrangler Sport,2016,118384.0,3.6L V6 24V MPFI DOHC,22999.0,0.0
Hyundai,Kona SE,2021,22554.0,2.0L I4 16V MPFI DOHC,22611.0,1.0
Kia,Forte GT,2021,27822.0,1.6L I4 16V GDI DOHC Turbo,23700.0,0.0
GMC,Acadia AT4,2021,43765.0,3.6L V6 24V GDI DOHC,35994.0,0.0
Chevrolet,Malibu RS,2019,61120.0,1.5L I4 16V GDI DOHC Turbo,20995.0,0.0
Kia,Telluride SX,2022,35369.0,3.8L V6 24V GDI DOHC,47995.0,0.0
Chevrolet,Silverado 2500 LS H/D Extended Cab,2004,125000.0,310.0HP 6.6L 8 Cylinder Engine Diesel Fuel,15000.0,0.0
Kia,Niro Touring,2018,77287.0,1.6L I4 16V GDI DOHC Hybrid,21450.0,0.0
GMC,Terrain SLE-2,2017,64560.0,2.4L I4 16V GDI DOHC,19807.0,1.0
Ford,Focus SE,2014,126111.0,"2L I-4 gasoline direct injection, DOHC, variable valve control,",6500.0,1.0
Buick,Encore GX Select,2020,33627.0,1.3L I3 12V MPFI DOHC Turbo,24495.0,0.0
Nissan,Frontier SV,2018,43805.0,4.0L V6 24V MPFI DOHC Flexible Fuel,26981.0,0.0
Mazda,Mazda3 FWD w/Preferred Package,2020,25917.0,Regular Unleaded I-4 2.5 L/152,24975.0,0.0
Kia,Optima LX,2020,15485.0,2.4L I4 16V GDI DOHC,23149.0,0.0
Audi,A4 2.0T Premium Plus quattro,2011,68232.0,2.0L I4 16V GDI DOHC Turbo,14998.0,0.0
Lexus,RX 350 F Sport,2020,43815.0,3.5L V6 24V PDI DOHC,43895.0,0.0
Dodge,Charger SXT,2020,61469.0,3.6L V6 24V MPFI DOHC,25594.0,0.0
Porsche,Cayenne Base,2021,0.0,3.0L V6 24V GDI DOHC Turbo,70000.0,0.0
Land Rover,Discovery Sport SE,2020,22748.0,I4,34978.0,0.0
Nissan,Rogue SL,2019,50129.0,2.5L I4 16V MPFI DOHC,24986.0,0.0
Ford,Escape SE,2020,28222.0,1.5L I3 12V GDI DOHC Turbo,22990.0,0.0
Jeep,Wrangler Unlimited Sport,2011,108048.0,3.8L V6 12V MPFI OHV,16995.0,0.0
Dodge,Grand Caravan SXT,2016,89847.0,3.6L V6 24V MPFI DOHC Flexible Fuel,14998.0,0.0
Mercedes-Benz,GLC 300 Base 4MATIC,2021,9559.0,2.0L I4 16V GDI DOHC Turbo,41489.0,0.0
Ford,Fusion Hybrid SE,2016,61169.0,2.0L I4 16V MPFI DOHC Hybrid,15998.0,1.0
Toyota,Prius v Three,2013,52839.0,1.8L I4 16V MPFI DOHC Hybrid,18995.0,0.0
Honda,CR-V EX,2019,56389.0,1.5L I4 16V GDI DOHC Turbo,26481.0,0.0
Lexus,RX 350 Base,2015,57571.0,3.5L V6 24V MPFI DOHC,20600.0,0.0
Nissan,NV200 SV,2021,33861.0,2.0L I4 16V MPFI DOHC,29999.0,1.0
Porsche,Cayenne Base,2013,76371.0,3.6L V6 24V GDI DOHC,21183.0,1.0
Porsche,911 Carrera,2015,84592.0,3.4L H6 24V GDI DOHC,68777.0,0.0
Honda,HR-V LX,2022,702.0,1.8L I4 16V MPFI SOHC,26390.0,0.0
Nissan,Versa 1.6 SL,2016,96888.0,1.6L I4 16V MPFI DOHC,15995.0,0.0
Kia,Optima Hybrid LX,2015,64215.0,2.4L I4 16V MPFI DOHC Hybrid,17998.0,0.0
Jeep,Wrangler Unlimited Sport,2021,42207.0,3.6L V6 24V MPFI DOHC,37000.0,0.0
Toyota,Corolla Hatchback SE,2019,28992.0,2.0L I4 16V PDI DOHC,19450.0,1.0
Ford,Edge SEL,2022,6694.0,2.0L I4 16V GDI DOHC Turbo,31000.0,0.0
Mercedes-Benz,A-Class A 220 4MATIC,2022,8564.0,2.0L I4 16V GDI DOHC Turbo,45977.0,0.0
Jeep,Wrangler Unlimited,2006,155312.0,4.0L I6 12V MPFI OHV,13950.0,1.0
Ford,Transit-250,2021,62444.0,3.5L V6 24V PDI DOHC Flexible Fuel,38999.0,0.0
Jeep,Grand Wagoneer Series II 4x4,2022,12947.0,6.4L V8,89000.0,0.0
Honda,CR-V AWD Touring,2021,15338.0,"1.5L I-4 gasoline direct injection, DOHC, variable valve control",33988.0,0.0
Tesla,Model 3 Performance,2021,15702.0,Electric,45990.0,0.0
GMC,Terrain SLT-1,2012,98636.0,2.4L I4 16V GDI DOHC,11997.0,1.0
Toyota,C-HR XLE,2018,58322.0,2.0L I4 16V MPFI DOHC,21688.0,0.0
Ford,Fiesta SE,2019,27002.0,1.6L I4 16V MPFI DOHC,22395.0,0.0
Chevrolet,Camaro 1LT,2021,60463.0,V6 Cylinder Engine,26500.0,1.0
Ford,Expedition Platinum MAX,2020,54777.0,"EcoBoost 3.5L V-6 gasoline direct injection, DOHC, variable valv",54990.0,0.0
Ford,Edge ST,2020,64220.0,2.7L V6 24V GDI DOHC Twin Turbo,31500.0,0.0
Honda,CR-V Hybrid EX-L,2022,26849.0,2.0L I4 16V MPFI DOHC Hybrid,36998.0,0.0
Dodge,Charger SXT,2020,67314.0,3.6L V6 24V MPFI DOHC,26900.0,0.0
Nissan,Murano S,2017,96023.0,3.5L V6 24V MPFI DOHC,11795.0,1.0
Lexus,CT 200h Base,2013,95878.0,1.8L I4 16V MPFI DOHC Hybrid,16742.0,0.0
Chevrolet,Corvette Base,2010,75850.0,6.2L V8 16V MPFI OHV,29900.0,1.0
Mercedes-Benz,Sprinter 2500 HIGH ROOF 170-IN. WB,2019,49988.0,3.0L V6 24V DDI DOHC Turbo Diesel,42995.0,1.0
Jeep,Patriot Altitude,2015,56878.0,2.0L I4 16V MPFI DOHC,17998.0,0.0
BMW,M4 Base,2016,63802.0,3.0L I6 24V GDI DOHC Twin Turbo,38950.0,1.0
Hyundai,Santa Fe Sport 2.4L,2018,36118.0,2.4L I4 16V GDI DOHC,21998.0,0.0
Jaguar,F-PACE 25t Premium,2020,47220.0,I4,31480.0,0.0
Chevrolet,Equinox 1LT,2020,45463.0,1.5L I4 16V GDI DOHC Turbo,21477.0,0.0
Honda,CR-V EX,2016,57614.0,2.4L I4 16V GDI DOHC,20389.0,1.0
BMW,530 i xDrive,2019,40508.0,2.0L I4 16V GDI DOHC Turbo,25990.0,1.0
Nissan,Altima 2.5 SV,2022,7044.0,2.5L I4 16V GDI DOHC,27892.0,0.0
Jeep,Compass Limited,2019,22879.0,2.4L I4 16V MPFI SOHC,25000.0,0.0
Hyundai,Accent SE,2021,40797.0,1.6L I4 16V PDI DOHC,19990.0,0.0
Toyota,4Runner Sport,2019,43001.0,4.0L V6 24V MPFI DOHC,42699.0,0.0
Nissan,Altima 2.5 S,2019,28419.0,2.5L I4 16V GDI DOHC,21943.0,0.0
Subaru,Crosstrek Premium,2023,8517.0,2.0L H4 16V GDI DOHC,30199.0,0.0
Ford,Fusion SEL,2020,40128.0,"EcoBoost 1.5L I-4 gasoline direct injection, DOHC, variable valv",24250.0,0.0
Chrysler,300 S,2022,12985.0,3.6L V6 24V MPFI DOHC,36115.0,0.0
Mercedes-Benz,Sprinter 2500 BLUETEC W/ REARCAM,2019,38947.0,3.0L V6 24V DDI DOHC Turbo Diesel,40946.0,1.0
Chevrolet,Impala 2LT,2015,59500.0,3.6L V6 24V GDI DOHC,19800.0,0.0
Volkswagen,Tiguan 2.0T SEL,2018,27953.0,2.0L I4 16V GDI DOHC Turbo,23977.0,1.0
BMW,335 i,2009,120479.0,3.0L I6 24V GDI DOHC Twin Turbo,11848.0,0.0
Dodge,Challenger GT,2017,83111.0,"Pentastar 3.6L V-6 DOHC, variable valve control, engine with 305",24995.0,0.0
Buick,Regal Base,2012,146448.0,2.4L I4 16V GDI DOHC Hybrid,10900.0,1.0
Toyota,Corolla LE,2022,17857.0,1.8L I4 16V MPFI DOHC,23495.0,0.0
Hyundai,Santa Fe Sport 2.4L,2017,51560.0,2.4L I4 16V GDI DOHC,21197.0,0.0
INFINITI,QX60 Base,2018,104480.0,3.5L V6 24V MPFI DOHC,21781.0,1.0
Chrysler,300 S,2019,52661.0,3.6L V6 24V MPFI DOHC,22447.0,1.0
Dodge,Viper RT-10,1995,29901.0,8.0L V10 SPFI OHV,44995.0,1.0
Lexus,RX 400h Base (CVT),2008,84997.0,3.3L V6 24V MPFI DOHC Hybrid,14000.0,0.0
Dodge,Journey Crossroad,2020,57185.0,Regular Unleaded I-4 2.4 L/144,22588.0,0.0
Chrysler,PT Cruiser GT,2006,157714.0,215.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,4299.0,0.0
Ford,Expedition EL,2017,108901.0,3.5L V6 24V GDI DOHC Twin Turbo,29995.0,0.0
RAM,1500 Lone Star,2017,106713.0,3.0L V6 24V DDI DOHC Turbo Diesel,27554.0,1.0
BMW,330 i,2020,18881.0,2.0L I4 16V GDI DOHC Turbo,41995.0,1.0
Lincoln,MKC Select,2019,9018.0,2.0L I4 16V GDI DOHC Turbo,24500.0,1.0
GMC,Yukon SLT,2021,69398.0,5.3L V8 16V GDI OHV,56900.0,0.0
Chevrolet,Equinox 2LT,2019,43906.0,2.0L I4 16V GDI DOHC Turbo,25825.0,0.0
Chevrolet,Camaro 2SS,2017,32132.0,6.2L V8 16V GDI OHV,38490.0,0.0
Acura,TLX Advance,2021,25400.0,2.0L I4 16V GDI DOHC Turbo,38593.0,0.0
Toyota,Highlander Limited,2021,16535.0,3.5L V6 24V PDI DOHC,41468.0,1.0
Lincoln,Navigator Select,2017,76955.0,3.5L V6 24V GDI DOHC Twin Turbo,28983.0,1.0
Cadillac,XT6 Sport AWD,2022,34208.0,3.6L V6 24V GDI DOHC,52918.0,0.0
Lexus,NX 300,2020,35008.0,2.0L I4 16V PDI DOHC Turbo,31995.0,0.0
Nissan,Altima 2.5 S,2014,129326.0,2.5L I4 16V MPFI DOHC,10440.0,1.0
Land Rover,Range Rover Sport SE Td6,2020,35454.0,"3L V-6 diesel direct injection, DOHC, variable valve control, in",56000.0,0.0
Ford,Expedition Max Limited,2019,60101.0,3.5L V6 24V GDI DOHC Twin Turbo,47995.0,0.0
RAM,1500 Big Horn,2021,8140.0,5.7L V8 16V MPFI OHV,44987.0,0.0
Chevrolet,Suburban 1500 LT,2015,121865.0,"EcoTec3 5.3L V-8 gasoline direct injection, variable valve contr",25999.0,1.0
Volkswagen,GTI 4-Door,2013,138840.0,2.0L I4 16V GDI DOHC Turbo,10995.0,1.0
Nissan,Maxima 3.5 SV,2017,100356.0,3.5L V6 24V MPFI DOHC,17980.0,0.0
Toyota,Highlander XLE,2017,110861.0,3.5L V6 24V PDI DOHC,26988.0,1.0
Toyota,Highlander XLE,2019,42308.0,3.5L V6 24V PDI DOHC,37500.0,0.0
Jeep,Grand Cherokee Laredo,2018,88018.0,3.6L V6 24V MPFI DOHC,22900.0,0.0
Dodge,Charger Police,2013,106163.0,5.7L V8 16V MPFI OHV,12934.0,1.0
Acura,RDX Technology Package,2017,61519.0,3.5L V6 24V MPFI SOHC,22991.0,0.0
Dodge,Charger SXT,2020,38370.0,3.6L V6 24V MPFI DOHC,27980.0,0.0
Toyota,Sienna XLE,2015,57370.0,3.5L V6 24V MPFI DOHC,24989.0,0.0
Nissan,NV Passenger NV3500 HD SL V8,2019,29731.0,5.6L V8 32V GDI DOHC,52373.0,0.0
Chevrolet,Suburban Premier,2017,125864.0,5.3L V8 16V GDI OHV,32437.0,0.0
RAM,3500 Laramie Longhorn,2012,83100.0,6.7L I6 24V DDI OHV Turbo Diesel,39991.0,0.0
Jeep,Gladiator Sport,2022,6815.0,3.6L V6 24V MPFI DOHC,42988.0,0.0
Volkswagen,ID.4 Pro S,2021,15304.0,Electric,36890.0,0.0
Jeep,Grand Cherokee Altitude,2017,92486.0,3.6L V6 24V MPFI DOHC,19900.0,0.0
INFINITI,Q50 3.0t Sport,2020,16475.0,3.0L V6 24V GDI DOHC Twin Turbo,36988.0,0.0
Nissan,Titan PRO-4X,2020,13863.0,5.6L V8 32V GDI DOHC,47995.0,0.0
Jeep,Cherokee Latitude Lux,2021,10299.0,2.0L I4 16V GDI DOHC Turbo,30597.0,0.0
Dodge,Challenger SRT Hellcat,2022,18537.0,6.2L V8 16V MPFI OHV Supercharged,76995.0,0.0
Jeep,Wrangler Unlimited 4xe Sahara,2021,10250.0,2.0L I4 16V GDI DOHC Turbo Hybrid,51570.0,0.0
Lincoln,Navigator,2009,120291.0,5.4L V8 24V MPFI SOHC Flexible Fuel,12999.0,0.0
INFINITI,QX80 PREMIUM SELECT,2021,37934.0,5.6L V8 32V GDI DOHC,55900.0,0.0
BMW,535 i,2013,122954.0,3.0L I6 24V GDI DOHC Turbo,15999.0,1.0
Chevrolet,Silverado 1500 High Country,2021,35086.0,6.2L V8 16V GDI OHV,54490.0,0.0
Mercedes-Benz,C-Class C 300 4MATIC Sport,2012,82080.0,3.0L V6 24V GDI DOHC,16900.0,0.0
Nissan,Rogue SV,2021,23207.0,2.5L I4 16V GDI DOHC,27995.0,0.0
Chevrolet,Volt LT,2018,20877.0,1.5L I4 16V GDI DOHC Hybrid,24796.0,1.0
Kia,Optima Hybrid EX,2014,0.0,2.4L I4 16V MPFI DOHC Hybrid,3700.0,0.0
Toyota,Prius Three,2015,40842.0,1.8L I4 16V MPFI DOHC Hybrid,18984.0,0.0
Ford,F-250 XLT,2017,78461.0,"6.2L V-8 variable valve control, engine with 385HP",43999.0,0.0
Mercedes-Benz,S-Class S 550 4MATIC,2015,85531.0,4.7L V8 32V GDI DOHC Twin Turbo,35995.0,1.0
GMC,Sierra 3500 Denali,2017,53887.0,6.6L V8 32V DDI OHV Turbo Diesel,58000.0,0.0
Lexus,RX 350,2017,30833.0,3.5L V6 24V MPFI DOHC,35987.0,0.0
Nissan,Murano Platinum,2019,25400.0,"3.5L V-6 DOHC, variable valve control, engine with 260HP",31000.0,1.0
Chevrolet,Silverado 1500 LTZ,2022,23110.0,5.3L V8 16V GDI OHV,51589.0,0.0
Ford,Escape S,2022,9502.0,1.5L I3 12V PDI DOHC Turbo,24000.0,0.0
Ford,E350 Super Duty E-350,2013,42048.0,5.4L V8 16V MPFI SOHC,31995.0,0.0
Buick,Encore Preferred,2019,37515.0,"Ecotec 1.4L I-4 DOHC, variable valve control, intercooled turbo,",18250.0,0.0
Kia,Sorento EX,2017,105335.0,3.3L V6 24V GDI DOHC,18998.0,0.0
Chevrolet,Suburban Premier,2017,86837.0,5.3L V8 16V GDI OHV,36275.0,0.0
Ford,F-150 Raptor,2018,64679.0,3.5L V6 24V PDI DOHC Twin Turbo,56392.0,0.0
Cadillac,XT4 Premium Luxury,2020,19097.0,"2L I-4 gasoline direct injection, DOHC, variable valve control,",35982.0,0.0
Jeep,Cherokee Limited,2020,32114.0,2.0L I4 16V GDI DOHC Turbo,31000.0,0.0
Kia,Optima EX,2017,57068.0,2.4L I4 16V GDI DOHC,18484.0,0.0
Subaru,Forester Limited,2019,32383.0,2.5L H4 16V GDI DOHC,27975.0,0.0
Buick,Encore Convenience,2015,81707.0,1.4L I4 16V MPFI DOHC Turbo,16995.0,0.0
RAM,3500 Big Horn,2018,133123.0,6.7L I6 24V DDI OHV Turbo Diesel,43555.0,0.0
Chevrolet,Silverado 1500 RST,2022,14158.0,3.0L I6 24V DDI DOHC Turbo Diesel,54000.0,0.0
Chevrolet,Cruze LS,2011,64374.0,1.8L I4 16V MPFI DOHC,9945.0,0.0
Lincoln,MKX Reserve,2017,94997.0,2.7L V6 24V GDI DOHC Twin Turbo,23477.0,1.0
Volkswagen,Jetta 1.4T SE,2019,62872.0,1.4L I4 16V GDI DOHC Turbo,17776.0,0.0
Mazda,CX-9 Touring,2020,38855.0,2.5L I4 16V GDI DOHC Turbo,29994.0,0.0
Cadillac,XT4 Premium Luxury,2020,59527.0,2.0L I4 16V GDI DOHC Turbo,29225.0,0.0
Jeep,Wagoneer Series III 4x4,2022,9626.0,V-8 cyl,69991.0,0.0
Nissan,Rogue SV,2020,28654.0,2.5L I4 16V MPFI DOHC,26998.0,0.0
Toyota,Camry Hybrid XSE,2022,21335.0,2.5L I4 16V PDI DOHC Hybrid,36000.0,0.0
Nissan,Frontier PRO-4X,2021,21118.0,3.8L V6 24V GDI DOHC,37794.0,0.0
Hyundai,Santa Fe SEL 2.0T,2020,49966.0,2.0L I4 16V GDI DOHC Turbo,32690.0,0.0
BMW,440 i xDrive,2017,79708.0,3.0L I6 24V GDI DOHC Turbo,29990.0,0.0
Audi,A3 2.0T Prestige,2018,39390.0,2.0L I4 16V GDI DOHC Turbo,31880.0,0.0
Ford,Expedition Max Limited,2021,27432.0,3.5L V6 24V PDI DOHC Twin Turbo,57999.0,0.0
BMW,X1 sDrive28i,2018,13031.0,2.0L I4 16V GDI DOHC Turbo,29925.0,1.0
Toyota,Corolla LE,2021,40069.0,1.8L I4 16V MPFI DOHC,20576.0,0.0
Nissan,Sentra SV,2017,65511.0,1.8L I4 16V MPFI DOHC,15999.0,0.0
Acura,RDX Technology Package,2016,79946.0,"3.5L V-6 i-VTEC variable valve control, engine with cylinder dea",23797.0,0.0
